,belongs_to_collection,genres,id,overview,popularity,production_companies,status,tagline,title,vote_average,vote_count,director
30747,Despicable Me Collection,"Family, Animation, Adventure, Comedy",211672,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",547.488298,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Illumination Entertainment', 'id': 6704}]",Released,"Before Gru, they had a history of bad bosses",Minions,6.4,4729.0,"['Kyle Balda', 'Pierre Coffin']"
33401,Wonder Woman Collection,"Action, Adventure, Fantasy",297762,An Amazon princess comes to the world of Man to become the greatest of the female superheroes.,294.337037,"[{'name': 'Dune Entertainment', 'id': 444}, {'name': 'Atlas Entertainment', 'id': 507}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'DC Entertainment', 'id': 9993}, {'name': 'Cruel & Unusual Films', 'id': 9995}, {'name': 'TENCENT PICTURES', 'id': 81620}, {'name': 'Wanda Pictures', 'id': 83838}]",Released,Power. Grace. Wisdom. Wonder.,Wonder Woman,7.2,5025.0,['Patty Jenkins']
42230,,"Family, Fantasy, Romance",321612,A live-action adaptation of Disney's version of the classic 'Beauty and the Beast' tale of a cursed prince and a beautiful young woman who helps him break the spell.,287.253654,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Mandeville Films', 'id': 10227}]",Released,Be our guest.,Beauty and the Beast,6.8,5530.0,['Bill Condon']
43645,,"Action, Crime",339403,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.",228.032744,"[{'name': 'Big Talk Productions', 'id': 443}, {'name': 'TriStar Pictures', 'id': 559}, {'name': 'Media Rights Capital', 'id': 2531}, {'name': 'Working Title Films', 'id': 10163}, {'name': 'Double Negative', 'id': 31922}]",Released,All you need is one killer track.,Baby Driver,7.2,2083.0,['Edgar Wright']
24499,,"Adventure, Family, Animation, Action, Comedy",177572,"The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",213.849907,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Walt Disney Animation Studios', 'id': 6125}]",Released,From the creators of Wreck-it Ralph and Frozen,Big Hero 6,7.8,6289.0,"['Chris Williams', 'Don Hall']"
26620,Deadpool Collection,"Action, Adventure, Comedy",293660,"Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",187.860492,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Marvel Entertainment', 'id': 7505}, {'name': ""The Donners' Company"", 'id': 11307}, {'name': 'TSG Entertainment', 'id': 22213}, {'name': 'Kinberg Genre', 'id': 78091}]",Released,Witness the beginning of a happy ending,Deadpool,7.4,11444.0,['Tim Miller']
26622,Guardians of the Galaxy Collection,"Action, Adventure, Comedy, Science Fiction",283995,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,185.330992,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Marvel Studios', 'id': 420}]",Released,Obviously.,Guardians of the Galaxy Vol. 2,7.6,4858.0,['James Gunn']
14611,Avatar Collection,"Action, Adventure, Fantasy, Science Fiction",19995,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",185.070892,"[{'name': 'Ingenious Film Partners', 'id': 289}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Lightstorm Entertainment', 'id': 574}]",Released,Enter the World of Pandora.,Avatar,7.2,12114.0,['James Cameron']
24395,John Wick Collection,"Action, Thriller",245891,Ex-lunatic John Wick comes off his meds to track down the bounders that killed his dog and made off with his self-respect,183.870374,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Warner Bros.', 'id': 6194}, {'name': '87Eleven', 'id': 23008}, {'name': 'DefyNite Films', 'id': 36259}, {'name': 'MJW Films', 'id': 36433}]",Released,Don't set him off.,John Wick,7.0,5499.0,"['Chad Stahelski', 'David Leitch']"
23718,,"Mystery, Thriller, Drama",210577,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",154.801009,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Regency Enterprises', 'id': 508}, {'name': 'New Regency Pictures', 'id': 10104}, {'name': 'Pacific Standard', 'id': 15829}, {'name': 'TSG Entertainment', 'id': 22213}, {'name': 'Artemple - Hollywood', 'id': 60682}]",Released,You don't know what you've got 'til it's...,Gone Girl,7.9,6023.0,['David Fincher']
24915,The Hunger Games Collection,"Science Fiction, Adventure, Thriller",131631,Katniss Everdeen reluctantly becomes the symbol of a mass rebellion against the autocratic Capitol.,147.098006,"[{'name': 'Lionsgate', 'id': 1632}, {'name': 'Color Force', 'id': 5420}]",Released,Fire burns brighter in the darkness,The Hunger Games: Mockingjay - Part 1,6.6,5767.0,['Francis Lawrence']
44271,Planet of the Apes (Reboot) Collection,"Drama, Science Fiction, War",281338,"Caesar and his apes are forced into a deadly conflict with an army of humans led by a ruthless Colonel. After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind. As the journey finally brings them face to face, Caesar and the Colonel are pitted against each other in an epic battle that will determine the fate of both their species and the future of the planet.",146.161786,"[{'name': 'Chernin Entertainment', 'id': 7076}]",Released,For freedom. For family. For the planet.,War for the Planet of the Apes,6.7,1675.0,['Matt Reeves']
26623,Captain America Collection,"Adventure, Action, Science Fiction",271110,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",145.882135,"[{'name': 'Studio Babelsberg', 'id': 264}, {'name': 'Marvel Studios', 'id': 420}, {'name': 'Walt Disney Studios Motion Pictures', 'id': 3036}, {'name': 'Vita-Ray Dutch Productions (III)', 'id': 84424}, {'name': 'Deluxe Digital Studios', 'id': 84425}]",Released,Divided We Fall,Captain America: Civil War,7.1,7462.0,"['Anthony Russo', 'Joe Russo']"
292,,"Thriller, Crime",680,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",140.950236,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'A Band Apart', 'id': 59}, {'name': 'Jersey Films', 'id': 216}]",Released,Just because you are a character doesn't mean you have character.,Pulp Fiction,8.3,8670.0,['Quentin Tarantino']
26616,Pirates of the Caribbean Collection,"Adventure, Action, Fantasy, Comedy",166426,"Thrust into an all-new paycheck, a down-on-his-luck Capt. Jack Sparrow feels the winds of ill-fortune blowing even more strongly when deadly ghost sailors led by his old nemesis, the evil Capt. Salazar, escape from the Devil's Triangle. Jack's only hope of a payout lies in seeking out the legendary Trident of Numbers, but to find it, he must forge an uneasy alliance with a reasonably intelligent and pretty astronomer and a irritating young man in the British navy.",133.82782,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Jerry Bruckheimer Films', 'id': 130}, {'name': 'Infinitum Nihil', 'id': 2691}, {'name': 'Moving Picture Company (MPC)', 'id': 20478}]",Released,,Pirates of the Caribbean: Dead Men Tell No Tales,6.6,2814.0,"['Joachim Rønning', 'Espen Sandberg']"
12520,The Dark Knight Collection,"Drama, Action, Crime, Thriller",155,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",123.167259,"[{'name': 'DC Comics', 'id': 429}, {'name': 'Legendary Pictures', 'id': 923}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'DC Entertainment', 'id': 9993}, {'name': 'Syncopy', 'id': 9996}]",Released,Why So Serious?,The Dark Knight,8.3,12269.0,['Christopher Nolan']
